Constants,,Geometry,,Seperator,,Negative,,Positive,
T,298.15,Lneg,1.28E-04,ϵ_e,0.724,Rs,1.25E-05,Rs,8.50E-06
t_plus,0.363,Lpos,1.90E-04,De_brug,1.5,Ds,3.90E-14,Ds,1.00E-13
De,7.50E-11,Lsep,7.60E-05,,,ϵ_s,0.471,ϵ_s,0.297
κ,1,Ltot,3.94E-04,,,ϵ_e,0.357,ϵ_e,0.444
Init_SOC,0.5,CC_A,1.00E+00,,,De_brug,1.5,De_brug,1.5
ce0,2000,,,,,κ_brug,1.5,κ_brug,1.5
,,,,,,σ,100,σ,3.8
,,,,,,σ_brug,1,σ_brug,1
,,,,,,θ_max,0.53,θ_max,7.62E-01
,,,,,,θ_min,0.05,θ_min,0.17
,,,,,,cs_max,26390,cs_max,22860
,,,,,,α,0.5,α,0.5
,,,,,,k_norm,2.28E-05,k_norm,2.21E-05
,,,,,,RFilm,0,RFilm,0
,,,,,,k_ref,1.94E-11,k_ref,2.16E-11